#CRTS ID	RA (J2000)	Dec (J2000)	UT Date	Mag	CSS images	SDSS	Others	Followed	Last	LC	FC	Classification
CSS120828:000010-215515	0.04323	-21.92087	20120828.38	17.02	1208280210014111715	no	11171	no	2016-10-22	11171	yes	Var
CSS100910:000025+332543	0.10280	33.42861	20100910.42	15.85	1009101320014148188	yes	14818	no	2016-11-05	14818	yes	CV SDSS mag 20,5
CSS101127:000130+050624	0.37695	5.10657	20101127.21	15.68	1011271040014129121	no	12912	yes	2016-11-06	12912	yes	CV mag 20,0
CSS160709:000132+211336	0.38474	21.22680	20160709.45	17.21	1607091210014124380	yes	12438	no	2016-11-05	12438	yes	Blazar CRATES_J0001+2113
CSS110926:000156+065236	0.48205	6.87665	20110926.30	19.35	1109261070014122864	no	12286	yes	2016-11-06	12286	yes	SN 2011hl SDSS mag 15,7 2MASX_00015920
CSS151109:000251+102403	0.71102	10.40078	20151109.23	18.80	1511091090014127873	no	12787	no	2016-11-06	12787	yes	SN SDSS mag >22
CSS111102:000253-280119	0.72217	-28.02197	20111102.20	19.46	1111020260014102295	no	10229	no	2015-10-13	10229	yes	SN/Ast
CSS111130:000253-280119	0.72228	-28.02207	20111130.14	19.17	1111300260014103252	no	10325	no	2015-10-13	10325	yes	SN DSS mag 19,5
CSS151119:000257+323253	0.73631	32.54794	20151119.13	18.80	1511191320014127170	yes	12717	no	2016-11-05	12717	yes	SN SDSS mag 22,2
CSS111006:000521+264916	1.33747	26.82104	20111006.18	17.75	1110061260014124074	yes	12407	yes	2016-10-29	12407	yes	AGN SDSS mag 19,3
CSS120619:000534+200123	1.39176	20.02313	20120619.43	19.30	1206191210014107066	yes	10706	yes	2016-11-05	10706	yes	AGN?
CSS130915:000549+095109	1.45449	9.85241	20130915.34	19.44	1309151090014120286	no	12028	no	2016-11-06	12028	yes	SN SDSS mag 16,7
CSS160922:000554+082548	1.47332	8.43010	20160922.32	17.71	1609221070014133607	no	13360	no	2016-11-06	13360	yes	SN SDSS mag 21,1
CSS100602:000700+192818	1.74830	19.47160	20100602.45	17.74	1006021180014134943	yes	13494	yes	2016-11-05	13494	yes	CV mag 20,5
CSS131012:000714-161753	1.80709	-16.29795	20131012.21	19.44	1310120150014110189	no	11018	no	2016-11-04	11018	yes	SN mag >21
CSS151202:000716-160618	1.81713	-16.10491	20151202.16	19.46	1512020150014110836	no	11083	no	2016-11-04	11083	yes	Unknown
