Classification,TransientID
Flare,1611101400424116462
HPM,1611101210274176502
HPM,1611101150154137989
HPM,1611091630244128695
CV,1611091600294129774
HPM,1611091350304122705
SN,1611091210484112960
SN,1611091120214135441
HPM,1611091120214104142
CV,1611091010464105145
SN,1611081550304129645
Unknown,1611080151224107156
SN,1611071230074109142
AGN,1611071180094132061
HPM,1611071121144136942
HPM,1611071120084120846
AGN,1611071010084108990
HPM,1611070010164112041
HPM,1611061320184156776
HPM,1611061290234141895
SN,1611061210044109538
SN,1611061091234116212
SN,1611051120134110028
Unknown,1611050120084101123
YSO,1611021070314137583
HPM,1610301230374170682
HPM,1610301120204106685
HPM,1610291660214144382
HPM,1610291630224109495
HPM,1610281400094114941
Unknown,1610271290104102413
HPM,1610241600204126524
HPM,1610231570224126275
CV,1610231570204118948
HPM,1610231460284109296
HPM,1610230180074121576
HPM,1610220040324133781
Flare,1610211260104103466
HPM,1610211180204120790
HPM,1610211040244121915
HPM,1610200150154126336
CV,1610131570194117494
SN,1610131180104104884
SN,1610131150114102277
CV,1610121600264129045
SN,1610121290034137586
SN,1610121230404110031
Unknown,1610121230244114553
CV/SN,1610111210514134421
SN,1610111070074115832
HPM,1610110231174113878
HPM,1610110210234109164
SN,1610101660414123208
SN,1610100070274103261
SN,1610100070244133288
SN,1610100040234111500
CV,1610090151174125109
Blazar,1610090121204115828
Blazar,1610071320374137623
SN,1610071260154236648
HPM,1610061321034114619
SN?,1610060040184119667
SN,1610051290094112842
CV,1610051040264100999
SN,1610050010124122001
SN,1610040181164105823
SN,1610011180064110646
CV?,1609271150204118454
HPM,1609261210844107359
CV/SN,1609260231074102814
HPM,1609260120024111290
HPM,1609260091164137445
CV,1609251400984119582
SN,1609251321064256693
Unknown,1609251320834119889
Unknown,1609251290124101098
Flare,1609251231144129676
SN?,1609221121194118187
SN,1609221070014133607
SN,1609221041244110267
Flare,1609221010114117243
SN,1609220010064109727
HPM,1609120180124108987
HPM,1609101690374137222
CV,1609101690374105884
SN,1609101550544114729
HPM,1609101290064105006
LPV,1609100091264119252
HPM,1609100091234102908
Unknown,1609090011264109605
Flare,1609061261144134968
CV,1609061180834144443
HPM,1609061180214126235
SN,1609041350784131213
SN,1609041041244101667
CV,1609041041214134611
HPM,1609041040184101998
SN,1609041011234131242
AGN,1609040090114121233
SDSS,1609031320094120160
HPM,1609030181084104467
SN,1609030071214116517
AGN,1609030041244102873
CV,1609030010064123344
Unknown,1609020151234113826
HPM,1609020010124113110
SN,1609020010114127735
SN,1608311070894114808
HPM,1608311040144105039
CV,1608310211114109727
HPM,1608310181104112828
Unknown,1608301230064121283
SN,1608301230044123883
SN,1608301210114126752
SN?,1608301210044119739
SN,1608291180064102809
Unknown,1608291180044127607
Unknown,1608291090054122820
HPM,1608291090044108797
SN,1607141460674111313
SN,1607141430714142489
SN,1607141040024107869
SN,1607121290724106294
SN,1607120261034138147
CV,1607101600454143507
HPM,1607101381004167841
SN,1607101380694141644
HPM,1607101380034107543
