,Unnamed: 0,objid,x,y,ra,dec,flux_z,original_image
16949,16949,J033229.46-275000.4,8190.937,693.385,53.12276510000001,-27.833451500000002,0.00188174,h_s_sect23_v2.0_drz_img.fits
16964,16964,J033229.48-274618.6,8182.418000000001,8086.565,53.1228499,-27.771834899999998,0.00376389,h_s_sect23_v2.0_drz_img.fits
16970,16970,J033229.49-274935.6,8177.531,1522.0929999999998,53.1228877,-27.8265598,0.00324589,h_s_sect23_v2.0_drz_img.fits
16972,16972,J033229.50-275015.4,8176.6359999999995,192.528,53.1228971,-27.837626500000002,0.0035643999999999997,h_s_sect23_v2.0_drz_img.fits
16980,16980,J033229.50-274636.9,8173.478,7478.513000000001,53.1229441,-27.7769015,0.004769399999999999,h_s_sect23_v2.0_drz_img.fits
16982,16982,J033229.51-274631.4,8171.382,7661.323,53.1229441,-27.7753848,0.0029809999999999997,h_s_sect23_v2.0_drz_img.fits
16985,16985,J033229.51-274742.9,8170.695,5278.005999999999,53.1229535,-27.795251500000003,0.00315633,h_s_sect23_v2.0_drz_img.fits
16990,16990,J033229.51-274915.6,8168.531999999999,2187.121,53.1229818,-27.8210015,0.0107779,h_s_sect23_v2.0_drz_img.fits
17006,17006,J033229.54-274934.1,8157.3859999999995,1571.559,53.123085499999995,-27.8261349,0.0147393,h_s_sect23_v2.0_drz_img.fits
17009,17009,J033229.55-274631.1,8154.732,7669.361,53.1231136,-27.7753099,0.00407129,h_s_sect23_v2.0_drz_img.fits
17010,17010,J033229.55-274922.3,8154.616,1962.243,53.12311379999999,-27.8228849,0.00427732,h_s_sect23_v2.0_drz_img.fits
17014,17014,J033229.55-274812.2,8154.0,4300.213,53.123104299999994,-27.8034015,0.012929300000000001,h_s_sect23_v2.0_drz_img.fits
17015,17015,J033229.55-275007.4,8153.349,459.07599999999996,53.1231233,-27.8354015,0.00295132,h_s_sect23_v2.0_drz_img.fits
17017,17017,J033229.55-274956.8,8153.137,814.4689999999999,53.12312320000001,-27.8324349,0.00244522,h_s_sect23_v2.0_drz_img.fits
17022,17022,J033229.55-274649.3,8151.996999999999,7064.528,53.1231325,-27.780368100000004,0.00647505,h_s_sect23_v2.0_drz_img.fits
17041,17041,J033229.58-274926.2,8139.968000000001,1833.349,53.123245700000005,-27.8239515,0.0171255,h_s_sect23_v2.0_drz_img.fits
17044,17044,J033229.58-274616.3,8138.17,8162.945,53.123264299999995,-27.7712015,0.00341988,h_s_sect23_v2.0_drz_img.fits
17045,17045,J033229.59-274720.3,8137.311,6030.411999999999,53.1232738,-27.788968199999996,0.00404421,h_s_sect23_v2.0_drz_img.fits
17061,17061,J033229.61-274919.0,8124.751,2075.506,53.1233871,-27.8219265,0.00565395,h_s_sect23_v2.0_drz_img.fits
17069,17069,J033229.63-274941.5,8119.391,1323.838,53.123453000000005,-27.8282098,0.00250109,h_s_sect23_v2.0_drz_img.fits
17070,17070,J033229.63-274624.7,8119.0,7884.729,53.123443200000004,-27.7735348,0.0021320999999999996,h_s_sect23_v2.0_drz_img.fits
17072,17072,J033229.63-274946.6,8118.717,1153.774,53.1234436,-27.8296098,0.00271535,h_s_sect23_v2.0_drz_img.fits
17074,17074,J033229.63-274726.2,8117.821999999999,5833.882,53.123452799999995,-27.7906098,0.00546601,h_s_sect23_v2.0_drz_img.fits
17083,17083,J033229.64-274721.8,8113.899,5981.019,53.1234904,-27.789384899999998,0.00352019,h_s_sect23_v2.0_drz_img.fits
17086,17086,J033229.64-274945.5,8113.172,1191.078,53.123518999999995,-27.8292932,0.015446399999999999,h_s_sect23_v2.0_drz_img.fits
17091,17091,J033229.65-274639.4,8110.526999999999,7393.284000000001,53.123528099999994,-27.7776098,0.00248915,h_s_sect23_v2.0_drz_img.fits
17094,17094,J033229.65-274626.5,8110.031,7824.507,53.123528,-27.774018199999997,0.00377838,h_s_sect23_v2.0_drz_img.fits
17104,17104,J033229.66-274834.0,8102.5869999999995,3572.7309999999998,53.12359420000001,-27.8094515,0.00320346,h_s_sect23_v2.0_drz_img.fits
17112,17112,J033229.67-274707.1,8097.835,6472.0019999999995,53.12364109999999,-27.7853098,0.00530806,h_s_sect23_v2.0_drz_img.fits
17114,17114,J033229.68-274703.6,8095.6,6588.118,53.12365989999999,-27.7843348,0.00682539,h_s_sect23_v2.0_drz_img.fits
17115,17115,J033229.68-274710.3,8095.281,6363.102,53.12365989999999,-27.786193100000006,0.0157142,h_s_sect23_v2.0_drz_img.fits
17120,17120,J033229.69-274945.9,8090.691999999999,1177.308,53.123707499999995,-27.829401500000003,0.00330295,h_s_sect23_v2.0_drz_img.fits
17121,17121,J033229.69-274625.9,8090.276999999999,7844.472,53.1237164,-27.7738598,0.00571598,h_s_sect23_v2.0_drz_img.fits
17122,17122,J033229.69-274753.6,8089.798000000001,4920.956,53.123726,-27.798226500000002,0.0058422,h_s_sect23_v2.0_drz_img.fits
17125,17125,J033229.69-274713.7,8089.102,6250.491999999999,53.123726,-27.787143199999996,0.00694637,h_s_sect23_v2.0_drz_img.fits
17129,17129,J033229.70-274618.9,8087.598000000001,8077.644,53.123735200000006,-27.771893199999997,0.00330826,h_s_sect23_v2.0_drz_img.fits
17134,17134,J033229.70-274700.3,8084.339,6696.434,53.123773,-27.7834265,0.025515799999999998,h_s_sect23_v2.0_drz_img.fits
17135,17135,J033229.71-274957.3,8083.818,798.3689999999999,53.1237829,-27.8325598,0.00661994,h_s_sect23_v2.0_drz_img.fits
17143,17143,J033229.72-274921.6,8078.654,1985.9520000000002,53.1238299,-27.8226765,0.00291896,h_s_sect23_v2.0_drz_img.fits
17145,17145,J033229.72-275002.7,8076.316999999999,616.205,53.12384889999999,-27.834093199999998,0.0129719,h_s_sect23_v2.0_drz_img.fits
17147,17147,J033229.73-275005.2,8074.494000000001,533.389,53.12385820000001,-27.8347848,0.00238408,h_s_sect23_v2.0_drz_img.fits
17150,17150,J033229.73-274704.7,8073.347,6551.328,53.1238766,-27.784643199999998,0.00736367,h_s_sect23_v2.0_drz_img.fits
17156,17156,J033229.73-274737.6,8071.03,5453.91,53.1238956,-27.793776399999995,0.00361248,h_s_sect23_v2.0_drz_img.fits
17159,17159,J033229.74-274701.9,8069.138000000001,6643.203,53.123914299999996,-27.7838765,0.00235537,h_s_sect23_v2.0_drz_img.fits
17160,17160,J033229.75-274911.0,8066.224,2339.894,53.1239335,-27.8197265,0.00396252,h_s_sect23_v2.0_drz_img.fits
17168,17168,J033229.75-274926.3,8063.321999999999,1829.121,53.12397120000001,-27.823984799999998,0.00369624,h_s_sect23_v2.0_drz_img.fits
